theta1: 0.000000, omega1: 0.000000
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 0.000000

theta1: -0.005913, omega1: -1.099014
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -1.099014

theta1: -0.005913, omega1: -1.099014
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -1.099014

theta1: -0.005913, omega1: -3.296661
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -20.878983

theta1: -0.005913, omega1: -1.099014
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -40.659332

theta1: -0.005913, omega1: 1.099014
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -71.428680

theta1: -0.005913, omega1: -1.099014
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -89.011002

theta1: -0.005913, omega1: 1.099014
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -91.208649

theta1: -0.005913, omega1: 3.296661
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -97.802353

theta1: -0.005913, omega1: -3.296661
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -100.000000

theta1: -0.005913, omega1: -1.099014
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -104.395676

theta1: -0.005913, omega1: -3.296661
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -113.186646

theta1: -0.005913, omega1: -1.099014
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -115.384674

theta1: -0.005913, omega1: -1.099014
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -117.582321

theta1: -0.005913, omega1: -1.099014
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -119.780350

theta1: -0.005913, omega1: -1.099014
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -119.780350

theta1: -0.005913, omega1: -1.099014
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -124.175644

theta1: -0.005913, omega1: -1.099014
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -124.175644

theta1: -0.005913, omega1: -3.296661
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -121.977997

theta1: -0.005913, omega1: -1.099014
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -121.977997

theta1: -0.005913, omega1: -1.099014
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -124.175644

theta1: -0.005913, omega1: -1.099014
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -121.977997

theta1: -0.005913, omega1: -1.099014
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -124.175644

theta1: -0.005913, omega1: -1.099014
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -117.582321

theta1: -0.005913, omega1: -1.099014
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -121.977997

theta1: -0.005913, omega1: -1.099014
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -117.582321

theta1: -0.005913, omega1: -1.099014
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -117.582321

theta1: -0.005913, omega1: -1.099014
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -113.186646

theta1: -0.005913, omega1: -1.099014
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -113.186646

theta1: -0.005913, omega1: 1.099014
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -113.186646

theta1: -0.005913, omega1: 1.099014
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -110.988998

theta1: -0.005913, omega1: -1.099014
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -113.186646

theta1: -0.005913, omega1: -1.099014
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -108.791351

theta1: -0.005913, omega1: -1.099014
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -106.593323

theta1: -0.005913, omega1: -1.099014
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -106.593323

